Name,Type,Lat,Lon
Schitul Daniil Sihastrul,lacase_cult,47.5032283,25.8735329
Biserica,lacase_cult,45.409068,28.0203082
Mănăstirea Sfânta Maria - Techirghiol,lacase_cult,44.0521688,28.601458
Biserica,lacase_cult,45.1608161,25.8921197
Biserica Înălțarea Domnului,lacase_cult,45.4318214,28.0330894
Biserica Cornești,lacase_cult,46.2203643,24.7822504
Mănăstirea Feredeu,lacase_cult,46.2414644,21.6552638
Biserica Baptistă,lacase_cult,44.567261,25.9462464
Biserica Sf Nicolae,lacase_cult,44.5554512,25.9448456
Biserica Reformată,lacase_cult,46.230885,23.9996562
Mănăstirea Bucium,lacase_cult,47.1138967,27.6390591
Biserica Catolică,lacase_cult,45.8213531,21.7453336
"Biserica ""Sf. Arh. Mihail și Gavriil""",lacase_cult,45.6764641,25.6486558
Biserica,lacase_cult,46.1880057,21.3370749
Biserica Mărcuța,lacase_cult,44.4441433,26.1716382
Biserica Izvorul Nou,lacase_cult,44.4216454,26.1375743
"Biserica Ortodoxă ""Toți Sfinții Români""",lacase_cult,44.4067705,26.0734964
Biserica Ortodoxă „Sfântul Silvestru”,lacase_cult,44.4429427,26.115406
Biserica Sfântul Nicolae,lacase_cult,47.4303813,24.396054
Biserica,lacase_cult,46.1740731,21.3596087
Renașterea,lacase_cult,46.1693022,21.3573899
Mănăstirea Nămăești,lacase_cult,45.3049814,25.1100654
Biserica Romano-Catolică Neprihănita Zămislire,lacase_cult,44.7243655,22.3937204
Biserica din Ieud - Șes,lacase_cult,47.6758538,24.2303258
Biserica din Ieud - Deal,lacase_cult,47.6763894,24.2364284
Biserica Ortodoxă Gârda de Sus,lacase_cult,46.4551836,22.8277403
Biserica Sf. Treime,lacase_cult,45.0437881,25.751104
Biserica Cergău,lacase_cult,46.0985444,23.9211759
Biserica,lacase_cult,46.1887309,21.3003625
Biserica Baptistă Șega,lacase_cult,46.191496,21.3038565
Biserica Sfinții Împărații Constantin și Elena,lacase_cult,46.2245638,23.9544743
Biserica Adormirea Maicii Domnului,lacase_cult,44.9558744,25.7584586
Parohia Pârscov,lacase_cult,45.2892371,26.563724
Biserica,lacase_cult,46.1924874,21.3059267
Katholische Kirche St. Josef Kleinsanktnikolaus,lacase_cult,46.1417672,21.3446291
Betania,lacase_cult,46.145145,21.3391469
Betel,lacase_cult,46.1980237,21.3018995
Biserica Sfântul Ioan,lacase_cult,45.6442598,25.5915883
Biruința,lacase_cult,46.1471612,21.3301838
Mănăstirea Ciolanu,lacase_cult,45.2355817,26.5472276
Schitul Cetățuia,lacase_cult,45.2416078,26.5351582
Biserica Sf Ioan Botezătorul,lacase_cult,47.0728571,24.4352777
Biserica Ortodoxă Sârbă,lacase_cult,46.2102463,21.2772681
Biserica Ortodoxă,lacase_cult,46.2110325,21.2776569
Biserica Reformată,lacase_cult,46.2031559,21.2837187
Nr. 7,lacase_cult,46.1473743,21.319841
Sfântul Nicolae,lacase_cult,45.09371,25.848761
"Biserica Ortodoxă ""Buna Vestire"" din Brașov",lacase_cult,45.6471851,25.5911482
Biserica Evanghelică Sf. Martin,lacase_cult,45.6517556,25.5884738
Biserica Brașovul Vechi,lacase_cult,45.6542175,25.5893267
Biserica ortodoxă Cornetu,lacase_cult,44.3405311,25.9421724
Biserica Bordeni,lacase_cult,45.0915583,25.8696092
Biserica,lacase_cult,46.123931,21.3850682
Biserica Greco-Catolică,lacase_cult,46.1627997,21.4060524
Sfânta Treime,lacase_cult,46.158017,21.407759
Mănăstirea Piatra Scrisă,lacase_cult,45.2172496,22.3019886
Biserica,lacase_cult,45.0390514,22.4151764
Biserica Sf. Vasile cel Mare și Sf. Ilie,lacase_cult,44.4107993,26.0166439
Evangelische Kirche,lacase_cult,45.8951732,24.3474966
Biserica Adormirea Maicii Domnului,lacase_cult,45.6178748,25.6949078
Biserica Catolică,lacase_cult,47.5701081,25.1250469
Biserica Ortodoxă,lacase_cult,47.5721739,25.1254469
Biserica Germană,lacase_cult,47.5748149,25.1268706
Mănăstirea Războieni,lacase_cult,47.086715,26.5547078
"Poenita, Orth. Kirche",lacase_cult,45.8164613,24.5524646
Orthodoxe Kirche,lacase_cult,45.8941549,24.3367756
orthodoxe Kirche,lacase_cult,45.9199879,24.3906736
Biserica Evanghelică Cârța,lacase_cult,45.7920267,24.5691262
"Poenita, orh. Kirche",lacase_cult,45.815327,24.5524827
Mănăstirea Piatra Sfântă,lacase_cult,47.0909267,27.6405365
Biserica Barnova,lacase_cult,47.0822274,27.6236709
Schitul Peștera,lacase_cult,45.3913181,25.4393873
Biserica,lacase_cult,45.1274286,25.5605187
Biserica,lacase_cult,45.1675734,25.5424278
Biserica Bezdead,lacase_cult,45.1412729,25.4925654
Biserica Rânca,lacase_cult,45.2909675,23.6808049
Biserica catolică „Sfinții Petru și Pavel”,lacase_cult,44.4904317,26.0917094
Biserica Floreasca - Sf Nicolae,lacase_cult,44.4701197,26.1046611
Mânăstirea Bujoreni,lacase_cult,46.2830405,27.8507209
Biserica Ortodoxă „Doamna Oltea”,lacase_cult,44.4574215,26.1063257
Biserica Ortodoxă „Sfântul Gheorghe” Otopeni,lacase_cult,44.5523213,26.0742977
Biserică Evanghelică Fortificată,lacase_cult,45.898463,25.5379824
Mănăstirea Șag-Timișeni,lacase_cult,45.6531667,21.2051425
Biserica Sf. Treime,lacase_cult,46.206389,23.6743699
Biserica Sfânta Treime,lacase_cult,44.3183176,23.7928514
Biserica Reformată Dumbrava,lacase_cult,45.8245137,22.1171596
Mănăstirea Lainici,lacase_cult,45.2643015,23.3925652
Biserica Nouă,lacase_cult,46.9613343,24.200842
Biserica Veche,lacase_cult,46.9627729,24.2022142
Capela Adormirea Maicii Domnului,lacase_cult,46.2295842,24.8192908
Biserica Unitariană,lacase_cult,46.3056662,23.1322884
Mănăstirea Sfântul Ioan cel Nou,lacase_cult,47.6417094,26.262906
Biserica Sfântul Ștefan,lacase_cult,45.4530069,28.027132
Biserica Sfânta Treime,lacase_cult,44.1119628,24.3471437
Biserica Ortodoxa Toti Sfintii,lacase_cult,44.1149399,24.3493725
Biserica Maranată,lacase_cult,45.751094,22.8976355
Biserica Romano-Catolică,lacase_cult,45.7523424,22.89857
Biserica Romano-Catolica Comuna Socond,lacase_cult,47.5627016,22.9506214
Biserica Golgota,lacase_cult,45.7626979,22.9171838
Mănăstirea Movila lui Burcel,lacase_cult,46.8463229,27.8057168
Biserica Penticostală Betania,lacase_cult,44.1128265,24.3515083
Biserica Sfintii Apostoli Petru si Pavel,lacase_cult,44.1175225,24.3549567
Biserica Protestantă Sfânta Treime,lacase_cult,44.1112597,24.3440187
Chilia Cleopa,lacase_cult,47.1760925,26.1656278
Biserica dintr-un brad,lacase_cult,47.1490917,26.1798134
Mănăstirea Sihla,lacase_cult,47.1494522,26.1804772
Peștera Cuvioasei Teodora,lacase_cult,47.1502637,26.1795879
Biserica Grozești,lacase_cult,46.9958263,28.0559329
Biserica Sfantul Ioan Botezatorul,lacase_cult,44.111269,24.3419404
biserică,lacase_cult,47.9265648,26.6505807
Biserica Nicșeni,lacase_cult,47.8592736,26.6350726
Sinagoga,lacase_cult,44.1152919,24.3529637
Biserica Sfantul Ierarh Vasile,lacase_cult,44.1084746,24.3420657
Biserica Chișcăreni,lacase_cult,47.9635184,26.828038
Mănăstirea Mălinești,lacase_cult,46.7838341,27.2820025
"Mănăstirea Florești (Simila, Florentina)",lacase_cult,46.553875,27.5573466
Biserica Sfânta Cuvioasă Parascheva,lacase_cult,47.7451446,26.6605187
Biserica fortificată din Saschiz,lacase_cult,46.1941575,24.9601603
Mănăstirea Măcin,lacase_cult,45.2557225,28.142032
Biserica Ortodoxă Slobozia,lacase_cult,47.3980346,26.7433454
Biserica Dâmbovicioara,lacase_cult,45.4374543,25.2319441
Biserica Sirnea (1923),lacase_cult,45.4707037,25.2554654
Biserica Sfânta Elisabeta,lacase_cult,46.1526969,24.7227868
